,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
125,76063,48,10.4,1.5,0.362,,,0.9,0.778,1.1,1.5,,,3.8
126,76064,55,10.8,2.3,0.462,,,0.8,0.865,2.8,0.4,,,5.5
127,2306,17,5.7,0.8,0.448,0.0,0.0,0.2,0.667,0.7,1.2,0.4,0.0,1.8
128,201589,76,19.3,2.5,0.438,0.0,0.0,0.5,0.667,4.6,0.6,0.7,0.7,5.6
129,76065,11,7.8,1.1,0.343,,,1.0,0.733,1.3,1.5,,,3.2
130,1628503,15,18.6,2.1,0.392,0.5,0.276,0.5,0.583,2.5,1.2,0.1,0.2,5.1
131,201600,82,12.1,1.0,0.553,0.0,0.0,0.9,0.503,3.7,0.4,0.2,0.7,2.8
132,355,14,16.7,1.6,0.297,0.0,0.0,0.6,0.727,1.6,2.4,0.7,0.4,3.7
133,173,39,6.8,0.9,0.42,0.2,0.24,0.3,0.48,1.7,0.5,0.4,0.3,2.2
134,76068,7,6.6,0.3,0.133,,,0.1,1.0,0.1,0.7,,,0.7
135,76069,25,11.5,1.4,0.409,,,0.8,0.778,1.7,1.3,,,3.7
136,1088,82,19.8,3.8,0.424,0.7,0.35,1.2,0.729,1.5,3.7,0.6,0.0,9.5
137,76070,77,20.1,2.9,0.409,,,1.3,0.599,2.8,2.3,,,7.0
138,76071,30,,0.8,0.253,,,0.6,0.543,,0.7,,,2.2
139,278,82,30.5,5.4,0.489,0.0,0.167,2.6,0.666,5.1,2.5,1.5,0.3,13.3
140,201571,72,26.5,3.7,0.43,1.5,0.439,2.9,0.893,1.8,3.5,0.6,0.0,11.8
141,200788,2,3.7,0.5,0.333,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,1.0
142,1134,31,3.6,0.7,0.457,0.0,0.0,0.6,0.633,1.1,0.2,0.1,0.1,2.0
143,76073,4,15.3,1.3,0.227,,,3.3,0.813,1.8,1.0,,,5.8
144,76074,7,4.0,0.9,0.462,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.1,1.7
145,138,82,27.9,4.2,0.433,0.0,0.0,1.4,0.651,6.2,1.1,0.7,0.9,9.8
